date,temperature,humidity,luminosity
2022-11-10 15:24:33.688,23.4,25.5,99
2022-11-10 15:24:32.412,23.4,25.6,97
2022-11-10 15:24:31.411,23.4,25.6,98
2022-11-10 15:24:30.134,23.4,25.7,104
2022-11-10 15:24:29.134,23.4,25.7,103
2022-11-10 15:24:27.856,23.3,25.8,102
2022-11-10 15:24:26.853,23.3,25.8,102
2022-11-10 15:24:25.579,23.3,25.9,105
2022-11-10 15:24:24.575,23.3,25.9,106
2022-11-10 15:24:23.296,23.3,25.9,106
2022-11-10 15:24:22.297,23.3,25.9,104
2022-11-10 15:24:21.018,23.4,25.9,107
2022-11-10 15:24:20.020,23.4,25.9,100
2022-11-10 15:24:18.742,23.4,25.9,98
2022-11-10 15:24:17.738,23.4,25.9,96
2022-11-10 15:24:16.460,23.3,26.0,98
2022-11-10 15:24:15.461,23.3,26.0,96
2022-11-10 15:24:14.182,23.3,26.0,98
2022-11-10 15:24:13.179,23.3,26.0,99
2022-11-10 15:24:11.904,23.3,26.0,98
2022-11-10 15:24:10.900,23.3,26.0,98
2022-11-10 15:24:09.627,23.3,26.0,98
2022-11-10 15:24:08.623,23.3,26.0,99
2022-11-10 15:24:07.345,23.4,26.1,98
2022-11-10 15:24:06.346,23.4,26.1,98
2022-11-10 15:24:05.068,23.3,26.0,98
2022-11-10 15:24:04.063,23.3,26.0,99
2022-11-10 15:24:02.790,23.3,26.0,97
2022-11-10 15:24:01.786,23.3,26.0,96
2022-11-10 15:24:00.512,23.3,26.0,97
2022-11-10 15:23:59.509,23.3,26.0,99
2022-11-10 15:23:58.231,23.3,26.0,96
2022-11-10 15:23:57.231,23.3,26.0,97
2022-11-10 15:23:55.953,23.4,26.0,97
2022-11-10 15:23:54.950,23.4,26.0,97
2022-11-10 15:23:53.676,23.3,26.0,96
2022-11-10 15:23:52.671,23.3,26.0,97
2022-11-10 15:23:51.398,23.3,25.9,98
2022-11-10 15:23:50.393,23.3,25.9,96
2022-11-10 15:23:49.115,23.3,25.9,96
2022-11-10 15:23:48.117,23.3,25.9,98
2022-11-10 15:23:46.839,23.3,25.9,98
2022-11-10 15:23:45.834,23.3,25.9,97
2022-11-10 15:23:44.560,23.3,25.9,97
2022-11-10 15:23:43.557,23.3,25.9,98
2022-11-10 15:23:42.279,23.3,25.9,96
2022-11-10 15:23:41.279,23.3,25.9,93
2022-11-10 15:23:40.001,23.3,25.9,95
2022-11-10 15:23:39.001,23.3,25.9,92
2022-11-10 15:23:37.724,23.4,25.9,95
2022-11-10 15:23:36.724,23.4,25.9,105
2022-11-10 15:23:35.445,23.3,25.9,106
2022-11-10 15:23:34.443,23.3,25.9,106
2022-11-10 15:23:33.168,23.3,25.9,101
2022-11-10 15:23:32.165,23.3,25.9,101
2022-11-10 15:23:30.887,23.3,26.0,105
2022-11-10 15:23:29.887,23.3,26.0,105
2022-11-10 15:23:28.609,23.3,26.1,105
2022-11-10 15:23:27.606,23.3,26.1,104
2022-11-10 15:23:26.332,23.3,26.1,102
2022-11-10 15:23:25.328,23.3,26.1,102
2022-11-10 15:23:24.050,23.4,26.1,103
2022-11-10 15:23:23.049,23.4,26.1,100
2022-11-10 15:23:21.773,23.3,26.2,101
2022-11-10 15:23:20.768,23.3,26.2,102
2022-11-10 15:23:19.494,23.3,26.2,103
2022-11-10 15:23:18.491,23.3,26.2,104
2022-11-10 15:23:17.216,23.4,26.3,105
2022-11-10 15:23:16.213,23.4,26.3,103
2022-11-10 15:23:14.936,23.4,26.4,105
2022-11-10 15:23:13.936,23.4,26.4,103
2022-11-10 15:23:12.658,23.4,26.5,102
2022-11-10 15:23:11.654,23.4,26.5,99
2022-11-10 15:23:10.381,23.3,26.6,101
2022-11-10 15:23:09.376,23.3,26.6,102
2022-11-10 15:23:08.098,23.3,26.8,103
2022-11-10 15:23:07.100,23.3,26.8,103
2022-11-10 15:23:05.821,23.4,26.9,103
2022-11-10 15:23:04.822,23.4,26.9,102
